Commercial_Banks,Development_Bank_Limited,Finance,Hotels_And_Tourism,Hydro_Power,Investment,Life_Insurance,Manufacturing_And_Processing,Microfinance,Mutual_Fund,Non-Life_Insurance,Others,Promotor_Share,Tradings
CZBIL,EDBL,BFC,CGH,AHL,CHDC,ALICL,BNL,ACLBSL,C30MF,HEI,CIZBD90,ACLBSLP,BBC
EBL,GBBL,GFCL,CITY,AHPC,CIT,CLI,BNT,ADLB,CMF2,IGI,HRL,ALBSLP,SEBON
GBIME,GRDBL,GMFIL,KDL,AKJCL,ENL,GMLI,GCIL,ALBSL,GIBF1,NICL,MATRIP,ALICLP,STC
HBL,JBBL,GUFL,OHL,AKPL,HATHY,HLI,HDL,ANLB,GSY,NIL,MKCL,ANLBP,
KBL,KRBL,ICFC,SHL,API,HIDCL,ILI,NLO,AVYAN,H8020,NLG,NRIC,AVYANP,
LSL,KSBBL,JFL,TRH,BARUN,NIFRA,LICN,SARBTM,CBBL,KDBY,NMIC,NRICP,CBBLPO,
MBL,LBBL,MFIL,,BEDC,NRN,NLIC,SHIVM,CYCL,KEF,PRIN,NRM,CFCLPO,
NABIL,MDB,MPFL,,BGWT,,NLICL,SONA,DDBL,KSLY,RBCL,NTC,CITPO,
NBL,MLBL,NFS,,BHDC,,PMLI,UNL,DLBS,KSY,SALICO,NWCL,CLIP,
NICA,MNBBL,PFL,,BHL,,RNLI,,FMDBL,LUK,SGIC,SJLICP,CORBLPO,
NIMB,NABBC,PROFL,,BHPL,,SJLIC,,FOWAD,LVF2,SICL,,CYCLP,
NMB,SADBL,RLFL,,BNHC,,SNLI,,GBLBS,MMF1,SPIL,,CZBILP,
PCBL,SAPDBL,SFCL,,BPCL,,SRLI,,GILB,MNMF1,UAIL,,DDBLPO,
PRVU,SHINE,SIFC,,CHCL,,,,GLBSL,NADDF,,,EBLPO,
RBB,SINDU,,,CHL,,,,GMFBS,NBF2,,,EDBLPO,
SANIMA,,,,CKHL,,,,HLBSL,NBF3,,,FMDBLP,
SBI,,,,DHPL,,,,ILBS,NFCF,,,FOWADP,
SBL,,,,DOLTI,,,,JBLB,NIBLGF,,,GBBLPO,
